sid,groupid,user,group,task,method,duration,duration_fs,success,test_runs,puppet_runs,total_runs,pause_total,pause_count
1,gt1x,user1,g1,task1,method_A,1283,1237,true,6,0,6,0,0
1,gt1x,user1,g1,task1,method_B,557,545,true,4,0,4,0,0
1,gt1x,user1,g1,task2.1,method_A,604,583,true,8,0,8,0,0
1,gt1x,user1,g1,task2.1,method_C,3962,3941,true,36,0,36,0,0
1,gt1x,user1,g1,task2.1,method_D,505,486,true,3,0,3,0,0
1,gt1x,user1,g1,task2.2,method_A,710,698,true,9,0,9,0,0
1,gt1x,user1,g1,task2.2,method_C,3276,3249,true,43,0,43,0,0
1,gt1x,user1,g1,task2.2,method_D,406,392,true,9,0,9,0,0
1,gt1x,user1,g1,task3.2,method_A,1407,1391,true,11,0,11,0,0
1,gt1x,user1,g1,task3.2,method_B,840,826,true,6,0,6,0,0

2,gt1x,user2,g1,task1,method_A,3397,3379,true,5,0,5,0,0
2,gt1x,user2,g1,task1,method_B,948,664,true,7,0,7,0,0
2,gt1x,user2,g1,task2.1,method_A,1456,1392,true,10,0,10,45,1
2,gt1x,user2,g1,task2.1,method_C,4500,"",false,44,0,44,0,0
2,gt1x,user2,g1,task2.1,method_D,4500,170,true,4,0,4,0,0
2,gt1x,user2,g1,task2.2,method_A,1557,1492,true,16,0,16,613,2
2,gt1x,user2,g1,task2.2,method_C,4500,"",false,1,0,1,0,0
2,gt1x,user2,g1,task2.2,method_D,1750,795,true,13,0,13,0,0
2,gt1x,user2,g1,task3.2,method_A,2563,2549,true,7,0,7,522,2
2,gt1x,user2,g1,task3.2,method_B,1744,1725,true,11,0,11,0,0

3,gt2x,user3,g2,task1,method_A,2269,2253,true,3,10,13,0,0
3,gt2x,user3,g2,task1,method_B,4382,4357,true,14,10,24,0,0
3,gt2x,user3,g2,task2.1,method_A,728,712,true,9,2,11,0,0
3,gt2x,user3,g2,task2.1,method_D,2838,2816,true,6,11,17,0,0
3,gt2x,user3,g2,task2.1,method_C,4901,4878,true,30,18,48,0,0
3,gt2x,user3,g2,task2.2,method_A,953,941,true,12,4,16,0,0
3,gt2x,user3,g2,task2.2,method_C,4215,4163,true,44,0,44,0,0
3,gt2x,user3,g2,task2.2,method_D,1703,1687,true,10,0,10,0,0
3,gt2x,user3,g2,task3.2,method_A,1364,1294,true,4,0,4,0,0
3,gt2x,user3,g2,task3.2,method_B,2463,2447,true,19,0,19,0,0

4,gt2x,user4,g2,task1,method_A,3507,3486,true,16,2,18,0,0
4,gt2x,user4,g2,task1,method_B,1561,1524,true,3,1,4,0,0
4,gt2x,user4,g2,task2.1,method_A,828,815,true,5,0,5,0,0
4,gt2x,user4,g2,task2.1,method_D,1881,1862,true,7,0,7,0,0
4,gt2x,user4,g2,task2.1,method_C,3173,3162,true,10,3,13,0,0
4,gt2x,user4,g2,task2.2,method_A,1361,1346,true,3,0,3,0,0
4,gt2x,user4,g2,task2.2,method_C,3786,3631,true,11,2,13,0,0
4,gt2x,user4,g2,task2.2,method_D,1522,1509,true,3,0,3,0,0
4,gt2x,user4,g2,task3.2,method_A,380,366,true,5,0,5,0,0
4,gt2x,user4,g2,task3.2,method_B,2296,2280,true,9,5,14,0,0

5,gt2x,user5,g2,task1,method_A,513,505,true,14,0,14,0,0
5,gt2x,user5,g2,task1,method_B,609,593,true,9,1,10,0,0
5,gt2x,user5,g2,task2.1,method_A,191,179,true,4,0,4,0,0
5,gt2x,user5,g2,task2.1,method_C,2114,2100,true,35,3,38,0,0
5,gt2x,user5,g2,task2.1,method_D,662,646,true,7,0,7,0,0
5,gt2x,user5,g2,task2.2,method_A,476,465,true,7,0,7,0,0
5,gt2x,user5,g2,task2.2,method_C,1547,1506,true,15,16,31,0,0
5,gt2x,user5,g2,task2.2,method_D,384,372,true,4,0,4,0,0
5,gt2x,user5,g2,task3.2,method_A,527,434,true,10,0,10,0,0
5,gt2x,user5,g2,task3.2,method_B,1422,1407,true,14,5,19,0,0

6,gt1y,user6,g3,task1,method_A,1202,1129,true,6,19,25,0,0
6,gt1y,user6,g3,task1,method_B,494,479,true,5,2,7,0,0
6,gt1y,user6,g3,task2.1,method_A,298,285,true,4,0,4,0,0
6,gt1y,user6,g3,task2.1,method_C,2458,2390,true,26,9,35,0,0
6,gt1y,user6,g3,task2.1,method_D,607,549,true,13,0,13,0,0
6,gt1y,user6,g3,task2.2,method_A,733,720,true,9,0,9,0,0
